曲名,アーティスト,アルバム,再生時間,ビットレート(kbps),サンプリングレート(Hz),ファイルサイズ(MB),拡張子,ファイルパス
,,,5:44,125,44100,5.2,.m4a,"E:\MUSIC\2 classical\Eine Kleine Nachtmusik, K 525 Allegro.m4a"
,,,4:11,320,44100,9.6,.mp3,E:\MUSIC\2 classical\Antonio Vivaldi  Concierto alla Rustica RV 151 en Sol Mayor - Obra Completa.mp3
,,,2:57,125,44100,2.7,.m4a,E:\MUSIC\2 classical\Antonio Vivaldi - Storm_2.m4a
メンデルスゾーン ピアノ三重奏曲 第1番 ニ短調 Op 49  mendelssohn   piano trio no. 1,,,28:15,192,44100,38.8,.mp3,E:\MUSIC\2 classical\mendelssohn   piano trio no. 1.mp3
ワーグナー: 歌劇｢ローエングリン｣：婚礼の合唱［ナクソス・クラシック・キュレーション #癒し］,,,4:53,192,44100,6.8,.mp3,E:\MUSIC\2 classical\婚礼の合唱.mp3
,,,6:47,127,44100,6.3,.m4a,"E:\MUSIC\2 classical\Beethoven Moonlight Sonata, III Presto Agitato Valentina Lisitsa.m4a"
,,,25:49,128,44100,23.7,.mp3,"E:\MUSIC\2 classical\Mozart  Symphony No. 40, Walter   ColumbiaSO (1959) モーツァルト 交響曲第40番 ワルター.mp3"
,,,27:08,128,44100,24.9,.mp3,"E:\MUSIC\2 classical\Mozart - Symphony No. 41 in C major, K. 551, Jupiter.mp3"
,,,3:20,128,44100,3.1,.mp3,E:\MUSIC\2 classical\Mozart - Lacrimosa.mp3
,,,2:23,128,44100,2.3,.mp3,E:\MUSIC\2 classical\Ｊ.Ｓ.バッハ 無伴奏チェロ組曲　第1番～プレリュード～／中木健二.mp3
,,,3:03,128,44100,2.9,.mp3,E:\MUSIC\2 classical\Ave verum corpus K 618.mp3
,,,76:30,128,44100,70.1,.mp3,E:\MUSIC\2 classical\Bach  Goldberg Variations - András Schiff (2017).mp3
,,,26:48,128,44100,24.6,.mp3,"E:\MUSIC\2 classical\Sabine Meyer, Mozart Clarinet Concerto in A major Kv 622.mp3"
,,,35:40,128,44100,32.7,.mp3,"E:\MUSIC\2 classical\Beethoven - Symphony No. 6 Pastoral   Remastered (r  Herbert von Karajan, Berliner Philharmoniker).mp3"
,,,187:49,128,44100,172.0,.mp3,E:\MUSIC\2 classical\【長時間作業用BGM】モーツァルト：弦楽五重奏曲全集 ／ MOZART   The Complete String Quintets.mp3
,,,10:21,128,44100,9.6,.mp3,"E:\MUSIC\2 classical\Mozart  Divertimento in B-flat major, K. 137 125b (with Score).mp3"
,,,14:25,128,44100,13.3,.mp3,"E:\MUSIC\2 classical\Mozart - Divertimento in D major, K. 136 (1772).mp3"
,,,47:52,128,44100,43.9,.mp3,"E:\MUSIC\2 classical\Mozart  Divertimento No. 17 in D major, K. 334 320b (with Score).mp3"
エッグプラネット　BGM　スーパーマリオギャラクシー,,,3:07,192,44100,4.4,.mp3,E:\MUSIC\1 SMG & mkw\エッグプラネット　BGM　スーパーマリオギャラクシー.mp3
スターダスト　BGM　スーパーマリオギャラクシー,,,3:34,192,44100,5.0,.mp3,E:\MUSIC\1 SMG & mkw\スターダスト　BGM　スーパーマリオギャラクシー.mp3
バトルロック　BGM　スーパーマリオギャラクシー,,,3:20,192,44100,4.7,.mp3,E:\MUSIC\1 SMG & mkw\バトルロック　BGM　スーパーマリオギャラクシー.mp3
フローターランド(海中)　BGM　スーパーマリオギャラクシー,,,3:16,192,44100,4.6,.mp3,E:\MUSIC\1 SMG & mkw\フローターランド(海中)　BGM　スーパーマリオギャラクシー.mp3
,,,3:16,320,44100,7.5,.mp3,E:\MUSIC\1 SMG & mkw\フローターランド.mp3
ヘルプロミネンス　BGM　スーパーマリオギャラクシー,,,4:15,192,44100,6.0,.mp3,E:\MUSIC\1 SMG & mkw\ヘルプロミネンス　BGM　スーパーマリオギャラクシー.mp3
青空アスレチック　BGM　スーパーマリオギャラクシー,,,1:20,192,44100,2.0,.mp3,E:\MUSIC\1 SMG & mkw\青空アスレチック　BGM　スーパーマリオギャラクシー.mp3
Super Mario Galaxy 2,Another Story,,1:31,192,44100,2.2,.mp3,E:\MUSIC\1 SMG & mkw\Another Story - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Awawawawa!,,0:37,192,44100,1.0,.mp3,E:\MUSIC\1 SMG & mkw\Awawawawa! - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Ball Rolling,,1:02,192,44100,1.6,.mp3,E:\MUSIC\1 SMG & mkw\Ball Rolling - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beat Block (Yoshi),,0:56,192,44100,1.4,.mp3,E:\MUSIC\1 SMG & mkw\Beat Block (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beat Block Galaxy,,0:56,192,44100,1.4,.mp3,E:\MUSIC\1 SMG & mkw\Beat Block Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beta Song 1,,3:22,192,44100,4.8,.mp3,E:\MUSIC\1 SMG & mkw\Beta Song 1 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beta Song 2,,1:55,192,44100,2.8,.mp3,E:\MUSIC\1 SMG & mkw\Beta Song 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Beta Song 3,,2:18,192,44100,3.3,.mp3,E:\MUSIC\1 SMG & mkw\Beta Song 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Boomsday,,3:08,192,44100,4.4,.mp3,E:\MUSIC\1 SMG & mkw\Boomsday - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Boss Blitz Galaxy,,1:29,192,44100,2.2,.mp3,E:\MUSIC\1 SMG & mkw\Boss Blitz Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bouldergeist,,1:56,192,44100,2.8,.mp3,E:\MUSIC\1 SMG & mkw\Bouldergeist - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser Jr.'s Fort,,1:52,192,44100,2.7,.mp3,E:\MUSIC\1 SMG & mkw\Bowser Jr.'s Fort - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser Jr.'s Fort (Yoshi),,1:59,192,44100,2.9,.mp3,E:\MUSIC\1 SMG & mkw\Bowser Jr.'s Fort (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,"Bowser, Almighty Koopa King",,2:58,192,44100,4.2,.mp3,"E:\MUSIC\1 SMG & mkw\Bowser, Almighty Koopa King - Super Mario Galaxy 2.mp3"
Super Mario Galaxy 2,Bowser's Galaxy Generator,,3:12,192,44100,4.5,.mp3,E:\MUSIC\1 SMG & mkw\Bowser's Galaxy Generator - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser's Galaxy Generator (Yoshi),,3:20,192,44100,4.7,.mp3,E:\MUSIC\1 SMG & mkw\Bowser's Galaxy Generator (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bowser's Lava Lair,,2:17,192,44100,3.3,.mp3,E:\MUSIC\1 SMG & mkw\Bowser's Lava Lair - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Bunny Chasing,,1:56,192,44100,2.8,.mp3,E:\MUSIC\1 SMG & mkw\Bunny Chasing - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Chimp's Challenge,,2:15,192,44100,3.2,.mp3,E:\MUSIC\1 SMG & mkw\Chimp's Challenge - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Chompworks Galaxy,,2:04,192,44100,3.0,.mp3,E:\MUSIC\1 SMG & mkw\Chompworks Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Cloudy Court Galaxy,,3:41,192,44100,5.2,.mp3,E:\MUSIC\1 SMG & mkw\Cloudy Court Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Cosmic Clones,,1:31,192,44100,2.2,.mp3,E:\MUSIC\1 SMG & mkw\Cosmic Clones - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Cosmic Cove Galaxy,,3:30,192,44100,5.0,.mp3,E:\MUSIC\1 SMG & mkw\Cosmic Cove Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Course Select,,0:42,192,44100,1.1,.mp3,E:\MUSIC\1 SMG & mkw\Course Select - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Digga-Leg,,2:25,192,44100,3.5,.mp3,E:\MUSIC\1 SMG & mkw\Digga-Leg - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Dino Piranha,,2:08,192,44100,3.1,.mp3,E:\MUSIC\1 SMG & mkw\Dino Piranha - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Final Bowser Battle,,2:47,192,44100,4.0,.mp3,E:\MUSIC\1 SMG & mkw\Final Bowser Battle - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Fire Mario,,0:40,192,44100,1.1,.mp3,E:\MUSIC\1 SMG & mkw\Fire Mario - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Fleet Glide Galaxy,,2:23,192,44100,3.4,.mp3,E:\MUSIC\1 SMG & mkw\Fleet Glide Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Flip-Swap Galaxy,,1:01,192,44100,1.5,.mp3,E:\MUSIC\1 SMG & mkw\Flip-Swap Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Forest Dwellers,,0:50,192,44100,1.3,.mp3,E:\MUSIC\1 SMG & mkw\Forest Dwellers - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Freezy Flake Galaxy,,2:33,192,44100,3.5,.mp3,E:\MUSIC\1 SMG & mkw\Freezy Flake Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Galaxy Intro,,0:10,192,44100,0.4,.mp3,E:\MUSIC\1 SMG & mkw\Galaxy Intro - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Glamdozer,,2:00,192,44100,2.9,.mp3,E:\MUSIC\1 SMG & mkw\Glamdozer - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Gobblegut,,1:57,192,44100,2.8,.mp3,E:\MUSIC\1 SMG & mkw\Gobblegut - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Grand Star Get!,,0:16,192,44100,0.5,.mp3,E:\MUSIC\1 SMG & mkw\Grand Star Get! - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Green Star,,2:04,192,44100,3.0,.mp3,E:\MUSIC\1 SMG & mkw\Green Star - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Haunty Halls (Yoshi),,3:27,192,44100,4.9,.mp3,E:\MUSIC\1 SMG & mkw\Haunty Halls (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Haunty Halls Galaxy,,1:43,192,44100,2.5,.mp3,E:\MUSIC\1 SMG & mkw\Haunty Halls Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Hightail Falls (Yoshi),,1:31,192,44100,2.2,.mp3,E:\MUSIC\1 SMG & mkw\Hightail Falls (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Hightail Falls Galaxy,,1:30,192,44100,2.2,.mp3,E:\MUSIC\1 SMG & mkw\Hightail Falls Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Hint TV,,0:35,192,44100,0.9,.mp3,E:\MUSIC\1 SMG & mkw\Hint TV - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Honeyhop Galaxy,,2:40,192,44100,3.8,.mp3,E:\MUSIC\1 SMG & mkw\Honeyhop Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Inside the Drain Pipe,,1:12,192,44100,1.8,.mp3,E:\MUSIC\1 SMG & mkw\Inside the Drain Pipe - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Major Burrows,,1:23,192,44100,2.0,.mp3,E:\MUSIC\1 SMG & mkw\Major Burrows - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Megahammer,,2:15,192,44100,3.2,.mp3,E:\MUSIC\1 SMG & mkw\Megahammer - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Melty Monster Galaxy,,2:28,192,44100,3.5,.mp3,E:\MUSIC\1 SMG & mkw\Melty Monster Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Overture,,1:26,192,44100,2.1,.mp3,E:\MUSIC\1 SMG & mkw\Overture - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Peewee Piranha,,1:17,192,44100,1.9,.mp3,E:\MUSIC\1 SMG & mkw\Peewee Piranha - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Power of the Stars,,0:06,191,44100,0.3,.mp3,E:\MUSIC\1 SMG & mkw\Power of the Stars - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Power Star Get!,,0:11,192,44100,0.4,.mp3,E:\MUSIC\1 SMG & mkw\Power Star Get! - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Precious One,,0:37,192,44100,1.0,.mp3,E:\MUSIC\1 SMG & mkw\Precious One - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Purple Coins,,3:14,192,44100,4.6,.mp3,E:\MUSIC\1 SMG & mkw\Purple Coins - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Puzzle Plank Galaxy,,2:10,192,44100,3.1,.mp3,E:\MUSIC\1 SMG & mkw\Puzzle Plank Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Rainbow Mario,,0:54,192,44100,1.4,.mp3,E:\MUSIC\1 SMG & mkw\Rainbow Mario - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Rolling Coaster Galaxy (Idle),,2:52,192,44100,4.1,.mp3,E:\MUSIC\1 SMG & mkw\Rolling Coaster Galaxy (Idle) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Rosalina,,3:04,192,44100,4.4,.mp3,E:\MUSIC\1 SMG & mkw\Rosalina - Super Mario Galaxy 2.mp3
